ab|by, from|prep. with abl.|(11)
ā|by, from|prep. with abl.|(11)
abeō|depart, go away||(14)
abīre|depart, go away||(14)
abīvī|depart, go away||(14)
abitus|depart, go away||(14)
abhinc|ago, from this place|adv.|(25)
